"","0-1y","2-4y","5-15y","16-64y","65y+"
"0-1y",2.39005736137667e-05,3.37362144230615e-05,1.27676978937547e-05,2.32971467930111e-05,2.35459490513136e-05
"2-4y",3.37362144230615e-05,7.87525594581824e-05,2.49674963445095e-05,2.26442979457341e-05,3.2238534540837e-05
"5-15y",1.27676978937547e-05,2.49674963445095e-05,0.00010420158821238,2.03599891922984e-05,2.13191694202652e-05
"16-64y",2.32971467930111e-05,2.26442979457341e-05,2.03599891922984e-05,3.69813108062233e-05,2.51210149093963e-05
"65y+",2.35459490513136e-05,3.2238534540837e-05,2.13191694202652e-05,2.51210149093963e-05,7.36970010713028e-05
