,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
propI_3,-13.9,-14,1,1,0.24,0.53,1,1,1,1.2,1.623465,0.7485072,1.6,8.423213,10,13.3,3.67,7.48,13.3
propI_4,-14.4,-17,1,1,1.47,1.44,1,0.2,1,0.38,0.09916219,2.003854,0.09,4.965105,10,8,0.36,0.079,8
propI_5,-13.1,-16,1,1,2.21,2.9,1,1,1,0.51,4.632175,2.667817,4.6,17.47961,10,1.41,1.4,5.6,1.41
propI_6,-8.45,-11,1,1,1.36,1,1,1,1,1.29,4.909216,5.320917,4.9,3.410657,10,3.7,17.2,5.11,3.7
propI_7,-10,-13.8,1,1,0.34,0.13,1,1,1,0.84,2.755616,2.916421,2.7,10.28722,10,18.5,1.9,1.6,18.5
propI_8,-6.6,-4.8,1,1,1.14,0.83,1,1,1.5,1.05,10.16422,8.273436,10,22.31642,10,8,31.3,30,8
propI_9,-7.45,-6.1,1,1,1.73,1.7,1,1,0.5,0.989,4.906912,6.683019,4.9,4.927695,10,7.9,6,4,7.9
propI_10,-9.5,-7.9,1,1,0.77,0.286,1,1,1,1.16,3.53914,6.544551,3.5,14.31396,10,12,4.3,1.7,12
propI_11,-10.4,-9.7,1,1,0.5,0.48,1,1,1,0.8,2.073487,5.754987,2,13.64283,10,12,0.3,0.46,12
detect_multiplier,0,0.4,0.4,1,0.53,0.5,0.4,1,0.4,0.33,0.3260018,0.3694009,0.32,0.3304786,0.3304786,0.27,0.44,0.36,0.27
